ip,timestamp,method,url_path,version,status_code,bytes,referrer,user_agent,response_time
26.167.128.186,27/Dec/2037:12:00:00 +0530,PUT,usr/admin/developer,HTTP/1.0,502,5060,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329,3253
144.140.97.239,27/Dec/2037:12:00:00 +0530,PUT,usr/register,HTTP/1.0,200,4934,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/87.0.4280.141 Safari/537.36,1286
86.194.222.239,27/Dec/2037:12:00:00 +0530,PUT,usr,HTTP/1.0,500,4881,-,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121,4049
254.54.186.144,27/Dec/2037:12:00:00 +0530,GET,usr/register,HTTP/1.0,500,5044,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329,4237
55.25.7.93,27/Dec/2037:12:00:00 +0530,GET,usr/admin,HTTP/1.0,304,5016,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329,2670
154.131.45.155,27/Dec/2037:12:00:00 +0530,GET,usr/login,HTTP/1.0,200,5059,-,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,607
207.194.20.187,27/Dec/2037:12:00:00 +0530,PUT,usr,HTTP/1.0,303,4989,-,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121,4241
202.8.213.171,27/Dec/2037:12:00:00 +0530,PUT,usr/login,HTTP/1.0,403,4957,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749,3707
26.44.136.193,27/Dec/2037:12:00:00 +0530,GET,usr/register,HTTP/1.0,404,4925,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,4684
217.20.3.105,27/Dec/2037:12:00:00 +0530,PUT,usr,HTTP/1.0,304,4951,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML; like Gecko) Version/7.0.3 Safari/7046A194A,1515
255.27.84.112,27/Dec/2037:12:00:00 +0530,DELETE,usr/admin,HTTP/1.0,304,5089,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML; like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1,3179
203.40.76.61,27/Dec/2037:12:00:00 +0530,PUT,usr/admin,HTTP/1.0,200,4922,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML; like Gecko) Version/7.0.3 Safari/7046A194A,1837
149.194.199.18,27/Dec/2037:12:00:00 +0530,GET,usr/register,HTTP/1.0,502,5017,-,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36,1753
41.193.26.139,27/Dec/2037:12:00:00 +0530,PUT,usr,HTTP/1.0,200,4917,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML; like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1,4811
78.88.250.115,27/Dec/2037:12:00:00 +0530,DELETE,usr/admin/developer,HTTP/1.0,502,4986,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML; like Gecko) Version/7.0.3 Safari/7046A194A,3824
115.101.165.251,27/Dec/2037:12:00:00 +0530,POST,usr,HTTP/1.0,304,4965,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329,4291
71.158.198.139,27/Dec/2037:12:00:00 +0530,DELETE,usr/login,HTTP/1.0,304,5077,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,516
211.69.213.210,27/Dec/2037:12:00:00 +0530,GET,usr/register,HTTP/1.0,304,4992,-,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,379
125.87.60.188,27/Dec/2037:12:00:00 +0530,GET,usr,HTTP/1.0,404,4961,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329,2529
183.129.168.199,27/Dec/2037:12:00:00 +0530,PUT,usr/register,HTTP/1.0,404,4990,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749,788
73.91.150.125,27/Dec/2037:12:00:00 +0530,GET,usr,HTTP/1.0,502,5028,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0,3099
102.247.49.87,27/Dec/2037:12:00:00 +0530,GET,usr/login,HTTP/1.0,200,4959,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0,2248
213.90.185.182,27/Dec/2037:12:00:00 +0530,POST,usr,HTTP/1.0,303,4926,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0,822
23.162.51.3,27/Dec/2037:12:00:00 +0530,POST,usr/login,HTTP/1.0,502,4940,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/87.0.4280.141 Safari/537.36,4686
84.89.201.191,27/Dec/2037:12:00:00 +0530,DELETE,usr/register,HTTP/1.0,502,4997,-,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749,4104
81.23.229.106,27/Dec/2037:12:00:00 +0530,PUT,usr/login,HTTP/1.0,502,5019,-,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121,3805
230.230.213.17,27/Dec/2037:12:00:00 +0530,PUT,usr/admin,HTTP/1.0,403,5024,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0,3354
148.5.169.251,27/Dec/2037:12:00:00 +0530,DELETE,usr/admin,HTTP/1.0,200,5044,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,1409
90.64.62.239,27/Dec/2037:12:00:00 +0530,PUT,usr/admin/developer,HTTP/1.0,500,4947,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36,1127
97.15.37.214,27/Dec/2037:12:00:00 +0530,PUT,usr/login,HTTP/1.0,404,4980,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,2258
159.238.93.133,27/Dec/2037:12:00:00 +0530,POST,usr/register,HTTP/1.0,200,4959,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749,4871
223.254.74.157,27/Dec/2037:12:00:00 +0530,GET,usr/admin,HTTP/1.0,303,4989,-,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36,1995
238.204.144.175,27/Dec/2037:12:00:00 +0530,POST,usr/login,HTTP/1.0,500,5056,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36,455
66.181.188.94,27/Dec/2037:12:00:00 +0530,POST,usr,HTTP/1.0,200,4966,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0,3609
71.8.223.77,27/Dec/2037:12:00:00 +0530,GET,usr/login,HTTP/1.0,502,4950,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0,480
228.181.201.16,27/Dec/2037:12:00:00 +0530,PUT,usr/login,HTTP/1.0,403,4936,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,808
172.175.150.80,27/Dec/2037:12:00:00 +0530,PUT,usr/admin/developer,HTTP/1.0,303,4986,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36,1160
127.72.62.237,27/Dec/2037:12:00:00 +0530,POST,usr/admin/developer,HTTP/1.0,502,4955,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/87.0.4280.141 Safari/537.36,4370
58.30.103.184,27/Dec/2037:12:00:00 +0530,POST,usr/admin,HTTP/1.0,500,5024,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML; like Gecko) Version/7.0.3 Safari/7046A194A,1994
93.47.162.191,27/Dec/2037:12:00:00 +0530,GET,usr/admin,HTTP/1.0,404,4967,-,Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML; like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1,1988
46.141.41.90,27/Dec/2037:12:00:00 +0530,DELETE,usr/admin/developer,HTTP/1.0,304,4981,-,Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML; like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1,4899
40.129.224.59,27/Dec/2037:12:00:00 +0530,DELETE,usr/login,HTTP/1.0,304,5023,-,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121,1028
183.51.44.206,27/Dec/2037:12:00:00 +0530,PUT,usr/login,HTTP/1.0,303,4952,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML; like Gecko) Version/7.0.3 Safari/7046A194A,2516
190.247.167.164,27/Dec/2037:12:00:00 +0530,POST,usr/admin,HTTP/1.0,500,5005,-,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749,1346
183.155.98.170,27/Dec/2037:12:00:00 +0530,DELETE,usr,HTTP/1.0,404,5098,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121,374
142.20.69.223,27/Dec/2037:12:00:00 +0530,DELETE,usr,HTTP/1.0,403,5038,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/87.0.4280.141 Safari/537.36,4252
157.44.23.213,27/Dec/2037:12:00:00 +0530,PUT,usr/login,HTTP/1.0,500,5022,-,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749,4104
136.170.251.93,27/Dec/2037:12:00:00 +0530,DELETE,usr/login,HTTP/1.0,303,4978,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329,989
224.219.85.67,27/Dec/2037:12:00:00 +0530,GET,usr/admin/developer,HTTP/1.0,500,5006,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,3507
85.2.215.227,27/Dec/2037:12:00:00 +0530,POST,usr/register,HTTP/1.0,500,4980,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329,2580
172.172.252.161,27/Dec/2037:12:00:00 +0530,DELETE,usr/register,HTTP/1.0,303,4969,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML; like Gecko) Version/7.0.3 Safari/7046A194A,1618
137.205.180.143,27/Dec/2037:12:00:00 +0530,POST,usr/admin/developer,HTTP/1.0,304,5053,-,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML; like Gecko) Version/7.0.3 Safari/7046A194A,1005
41.204.111.51,27/Dec/2037:12:00:00 +0530,POST,usr/admin/developer,HTTP/1.0,403,5044,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0,2347
214.60.60.96,27/Dec/2037:12:00:00 +0530,POST,usr/admin,HTTP/1.0,304,5001,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,2634
0.89.70.97,27/Dec/2037:12:00:00 +0530,DELETE,usr/login,HTTP/1.0,303,5017,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/87.0.4280.141 Safari/537.36,3328
93.234.0.101,27/Dec/2037:12:00:00 +0530,POST,usr/login,HTTP/1.0,200,5088,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML; like Gecko) Version/7.0.3 Safari/7046A194A,296
132.176.187.103,27/Dec/2037:12:00:00 +0530,DELETE,usr/admin/developer,HTTP/1.0,500,4973,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0,4576
49.144.29.85,27/Dec/2037:12:00:00 +0530,GET,usr/admin/developer,HTTP/1.0,500,5029,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329,4190
106.15.105.115,27/Dec/2037:12:00:00 +0530,PUT,usr/register,HTTP/1.0,200,5046,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,3713
187.13.150.49,27/Dec/2037:12:00:00 +0530,PUT,usr,HTTP/1.0,502,5029,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0,4235
213.127.117.32,27/Dec/2037:12:00:00 +0530,PUT,usr/register,HTTP/1.0,303,5036,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0,2636
220.194.253.161,27/Dec/2037:12:00:00 +0530,GET,usr,HTTP/1.0,303,4966,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0,1244
247.61.75.27,27/Dec/2037:12:00:00 +0530,POST,usr/admin,HTTP/1.0,502,4931,-,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36,4915
233.228.7.148,27/Dec/2037:12:00:00 +0530,PUT,usr/login,HTTP/1.0,404,5066,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,4674
142.19.81.223,27/Dec/2037:12:00:00 +0530,POST,usr/register,HTTP/1.0,200,4924,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/87.0.4280.141 Safari/537.36,1795
103.176.203.18,27/Dec/2037:12:00:00 +0530,DELETE,usr/admin,HTTP/1.0,404,5033,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML; like Gecko) Version/7.0.3 Safari/7046A194A,371
76.54.177.164,27/Dec/2037:12:00:00 +0530,DELETE,usr/login,HTTP/1.0,500,4969,-,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121,1406
68.226.160.154,27/Dec/2037:12:00:00 +0530,PUT,usr,HTTP/1.0,303,5035,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121,2123
112.164.86.231,27/Dec/2037:12:00:00 +0530,POST,usr/admin/developer,HTTP/1.0,403,5024,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329,2738
68.186.225.176,27/Dec/2037:12:00:00 +0530,DELETE,usr,HTTP/1.0,500,5101,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121,1323
12.131.19.214,27/Dec/2037:12:00:00 +0530,GET,usr/admin/developer,HTTP/1.0,404,4981,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML; like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1,3119
141.46.157.247,27/Dec/2037:12:00:00 +0530,DELETE,usr/register,HTTP/1.0,304,4965,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329,4761
195.47.94.9,27/Dec/2037:12:00:00 +0530,PUT,usr/admin/developer,HTTP/1.0,304,5024,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,2652
65.104.60.28,27/Dec/2037:12:00:00 +0530,GET,usr/admin,HTTP/1.0,304,5084,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0,2287
6.110.39.101,27/Dec/2037:12:00:00 +0530,DELETE,usr/admin,HTTP/1.0,303,4947,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0,92
236.192.181.134,27/Dec/2037:12:00:00 +0530,POST,usr,HTTP/1.0,200,4995,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121,4088
92.213.35.47,27/Dec/2037:12:00:00 +0530,GET,usr,HTTP/1.0,404,4997,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/87.0.4280.141 Safari/537.36,1750
25.254.82.147,27/Dec/2037:12:00:00 +0530,DELETE,usr/register,HTTP/1.0,304,5067,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML; like Gecko) Version/7.0.3 Safari/7046A194A,915
226.208.16.190,27/Dec/2037:12:00:00 +0530,PUT,usr/register,HTTP/1.0,500,5043,-,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36,688
204.34.245.97,27/Dec/2037:12:00:00 +0530,PUT,usr/register,HTTP/1.0,502,4917,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,4023
66.221.171.61,27/Dec/2037:12:00:00 +0530,GET,usr/login,HTTP/1.0,502,5034,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/87.0.4280.88 Safari/537.36 OPR/73.0.3856.329,4331
144.85.122.244,27/Dec/2037:12:00:00 +0530,GET,usr/admin,HTTP/1.0,200,4976,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0,1582
233.200.137.100,27/Dec/2037:12:00:00 +0530,POST,usr/login,HTTP/1.0,403,4965,-,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121,2631
127.178.20.10,27/Dec/2037:12:00:00 +0530,POST,usr,HTTP/1.0,404,5031,http://www.parker-miller.org/tag/list/list/privacy/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML; like Gecko) Version/7.0.3 Safari/7046A194A,1664
52.135.10.160,27/Dec/2037:12:00:00 +0530,PUT,usr,HTTP/1.0,200,4995,-,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749,1670
